symbol,name,price,peratio,marketcap,annrevenue,netincome,sales12,sales13,sales14,sales15,sales16,spt12,spt13,spt14,spt15,spt16,in12,in13,in14,in15,in16,ipt12,ipt13,ipt14,ipt15,ipt16,eps12,eps13,eps14,eps15,eps16,ept12,ept13,ept14,ept15,ept16
AQ,Acquity Group Ltd,12.96,-,-,304.77M,1851.43,-,-,-,-,-,-,-,-,-,-,(5.88M),-782067,-615626,(1.47M),-336710,-,86.69,21.28,-138.27,77.05,-0.09,-0.01,-0.02,-0.02,(),-,88.89,-100,9.5,77.9
LOGM,LogMeIn Inc,96.15,976.94,5.08B,336.07,2.64,138.84M,166.26M,221.96M,271.6M,336.07M,-,19.75,33.5,22.37,23.74,3.57M,(7.68M),7.96M,14.56M,2.64M,-,-315.45,203.55,83,-81.88,0.14,-0.32,0.33,0.59,0.1,-,-328.57,203.13,78.79,-83.05
CVLT,CommVault Systems Inc.,49.1,872.27,2.21B,595.13,0.14,406.64M,495.85M,586.34M,607.54M,595.13M,-,21.94,18.25,3.62,-2.04,31.94M,53.21M,64.06M,25.65M,136000,-,66.59,20.4,-59.96,-99.47,0.72,1.17,1.36,0.56,0,-,62.5,16.24,-58.82,-99.46
ABIL,Ability Inc,2.33,470.71,60.41M,52.15,14.75,-,-,-,21.44M,52.15M,-,-,-,-,143.2,-,-,-8329,3.12M,14.75M,-,-,-,37583.49,372.55,-,-,(),0.13,0.6,-,-,-,2988.89,361.54
NTCT,NetScout Systems Inc.,37.25,453.11,3.45B,955.42,-28.37,308.68M,350.55M,396.65M,453.67M,955.42M,-,13.56,13.15,14.38,110.6,32.43M,40.61M,49.11M,61.19M,(28.37M),-,25.23,20.92,24.61,-146.36,0.77,0.97,1.19,1.49,-0.35,-,25.97,22.68,25.21,-123.49
GWRE,Guidewire Software Inc,55.47,390.19,4.12B,424.45,14.98,232.06M,300.65M,350.25M,380.54M,424.45M,-,29.56,16.5,8.65,11.54,11.66M,15.38M,14.72M,9.89M,14.98M,-,31.97,-4.3,-32.85,51.5,0.29,0.27,0.22,0.14,0.21,-,-6.9,-18.52,-36.36,50
TESS,TESSCO Technologies Inc.,15,387.5,124.95M,530.68,5.33,733.39M,752.57M,560.09M,549.62M,530.68M,-,2.61,-25.58,-1.87,-3.45,16.2M,17.59M,16.12M,8.59M,5.33M,-,8.62,-8.41,-46.71,-37.98,2.12,2.22,1.98,1.05,0.65,-,4.72,-10.81,-46.97,-38.1
FCS,Fairchild Semiconductor Intl Inc,19.86,-,-,2.28B,379.95,10.31M,32.63M,43.85M,42.88M,52.35M,-,216.55,34.38,-2.21,22.09,,-,29924.27,-39.7,64.96,-72.89,0.01,1.67,0.9,1.37,0.36,-,28286.44,-46.07,51.78,-74.05,,,,
NFLX,Netflix Inc.,142.02,333.88,60.78B,8830.67,186.68,3.61B,4.37B,5.5B,6.78B,8.83B,-,21.2,25.83,23.16,30.26,17.15M,112.4M,266.8M,122.64M,186.68M,-,555.33,137.36,-54.03,52.22,0.04,0.28,0.63,0.29,0.44,-,522.35,130.07,-54.28,51.72
CRM,salesforce.com inc.,81.61,315.04,57.49B,8391.98,179.63,3.05B,4.07B,5.37B,6.67B,8.39B,-,33.47,32,24.07,25.87,(270.45M),(232.18M),(262.69M),(47.43M),179.63M,-,14.15,-13.14,81.95,478.76,-0.03,-0.39,-0.42,-0.07,0.26,-,-1200,-7.69,83.33,471.43
