symbol,name,price,peratio,marketcap,annrevenue,netincome,sales12,sales13,sales14,sales15,sales16,spt12,spt13,spt14,spt15,spt16,in12,in13,in14,in15,in16,ipt12,ipt13,ipt14,ipt15,ipt16,eps12,eps13,eps14,eps15,eps16,ept12,ept13,ept14,ept15,ept16
TMWE,Tim We SGPS SA,0.0000,-,-,-,0.00,,,,,,
GNCMA,General Communication Inc.,21.53,-,775.68M,933.81,-3.67,710.18M,811.65M,910.2M,978.53M,933.81M,-,14.29,12.14,7.51,-4.57,9.67M,9.41M,7.17M,(26.03M),(3.67M),-,-2.76,-23.75,-462.87,85.91,0.23,0.23,0.18,(0.69),(0.11),-,-0.78,-20.61,-475.85,83.58
PHI,PLDT Inc (ADR),30.67,-,6.64B,3294.95,397.70,163.03B,168.33B,170.84B,171.1B,165.26B,-,3.25,1.49,0.16,-3.41,35.61B,33.35B,34.09B,22.07B,20.01B,-,-6.33,2.22,-35.28,-9.33,167.07,163.67,157.51,101.85,92.33,-,-2.04,-3.76,-35.34,-9.35
BBOX,Black Box Corporation,8.65,-,134.89M,912.66,-171.10,1.09B,997.79M,971.67M,992.44M,912.66M,-,-8.25,-2.62,2.14,-8.04,(247.73M),28.81M,(115.87M),15.34M,(171.1M),-,111.63,-502.25,113.24,-1215.25,(13.98),1.73,(7.33),1.00,(11.18),-,112.37,-523.70,113.64,-1218.00
VOD,Vodafone Group Plc (ADR),26.88,-,71.04B,60465.38,-5938.37,46.42B,38.04B,38.35B,42.23B,40.97B,-,-18.05,0.80,10.12,-2.97,6.96B,(4.2B),11.15B,5.7B,(4.02B),-,-160.41,365.19,-48.82,-170.55,0.25,0.03,0.48,0.22,(0.15),-,-88.81,1595.39,-54.51,-169.33
SCON,Superconductor Technologies Inc.,1.29,-,6.29M,0.24,-8.60,3.5M,3.46M,1.71M,632000,244000,-,-1.14,-50.56,-63.04,-61.39,(13.38M),(10.93M),(12.17M),(8.25M),(8.6M),-,18.34,-11.39,32.22,-4.25,(75.60),(50.40),(25.65),(9.60),(6.60),-,33.33,49.11,62.57,31.25
EGHT,8x8 Inc.,14.95,-,1.35B,209.34,-5.12,85.8M,107.61M,128.6M,162.41M,209.34M,-,25.42,19.50,26.30,28.89,69.23M,13.94M,1.6M,1.93M,(5.12M),-,-79.87,-88.54,20.53,-365.84,1.04,0.20,0.02,0.02,(0.06),-,-80.77,-87.75,-18.37,-389.50
LMOS,Lumos Networks Corp,17.66,-,416.24M,-,-,206.87M,207.48M,201.46M,204.27M,206.9M,-,0.29,-2.90,1.40,1.29,16.34M,17.35M,20.99M,9.69M,(523000),-,6.17,20.98,-53.84,-105.40,0.78,0.81,0.97,0.44,(0.02),-,3.85,19.75,-54.64,-104.55
MERU,Meru Networks Inc.,1.62,-,-,39.34M,-,,,,,,
BCOM,B Communications Ltd,19.25,-,2.05B,2736.37,57.55,11.37B,10.28B,9.56B,9.06B,9.99B,-,-9.63,-6.96,-5.31,10.27,(219M),45M,137M,(21M),210M,-,120.55,204.44,-115.33,1100.00,(7.34),1.52,4.56,(0.70),7.03,-,120.71,200.00,-115.35,1104.29
